Sample,Assay,Day_Post_Stim,Media,Treatment,Fold_Change
1,ALP,3,CM,NC10,1.791664531
2,ALP,3,CM,NC10,0.625672835
3,ALP,3,CM,NC10,0.440867381
4,ALP,3,CM,NC10,0.497513713
5,ALP,3,CM,NC10,0.653098888
6,ALP,3,CM,NC10,0.750243502
7,ALP,3,CM,NC10,0.509304352
8,ALP,3,CM,NC10,0.57979187
9,ALP,3,CM,NC10,1.306336184
10,ALP,3,CM,NC10,1.126200035
11,ALP,3,CM,NC10,1.084307907
12,ALP,3,CM,NC10,1.126200035
13,ALP,3,CM,NC10,1.041019375
14,ALP,3,CM,NC10,1.105952173
15,ALP,3,CM,NC10,1.266538663
16,ALP,3,CM,NC10,1.554896142
17,ALP,3,CM,NC10,1.122402798
18,ALP,3,CM,NC10,1.101830899
19,ALP,3,CM,NC10,1.002262909
20,ALP,3,CM,NC10,1.142151821
21,ALP,3,CM,NC10,1.1462662
22,ALP,3,CM,NC10,1.133100185
23,ALP,3,CM,NC10,1.05081259
24,ALP,3,CM,NC10,1.179181238
25,ALP,3,CM,NC100,0.772030553
26,ALP,3,CM,NC100,0.807402471
27,ALP,3,CM,NC100,0.755882504
28,ALP,3,CM,NC100,0.526990311
29,ALP,3,CM,NC100,0.889424309
30,ALP,3,CM,NC100,1.013738658
31,ALP,3,CM,NC100,0.969139283
32,ALP,3,CM,NC100,0.653611524
33,ALP,3,CM,NC100,1.269331471
34,ALP,3,CM,NC100,1.556990749
35,ALP,3,CM,NC100,1.349624716
36,ALP,3,CM,NC100,1.680572526
37,ALP,3,CM,NC100,1.41316111
38,ALP,3,CM,NC100,1.694536568
39,ALP,3,CM,NC100,1.927037877
40,ALP,3,CM,NC100,2.583347879
41,ALP,3,CM,NC100,2.445587328
42,ALP,3,CM,NC100,3.069327299
43,ALP,3,CM,NC100,2.783789344
44,ALP,3,CM,NC100,2.596996503
45,ALP,3,CM,NC100,2.322155935
46,ALP,3,CM,NC100,2.847150792
47,ALP,3,CM,NC100,2.451347459
48,ALP,3,CM,NC100,2.775560584
49,ALP,3,CM,NC200,1.069645662
50,ALP,3,CM,NC200,1.156222726
51,ALP,3,CM,NC200,1.963344388
52,ALP,3,CM,NC200,2.740443358
53,ALP,3,CM,NC200,1.89492058
54,ALP,3,CM,NC200,2.547739571
55,ALP,3,CM,NC200,1.966137197
56,ALP,3,CM,NC200,2.785826497
57,ALP,3,CM,NC200,5.012960296
58,ALP,3,CM,NC200,3.814852911
59,ALP,3,CM,NC200,4.455050401
60,ALP,3,CM,NC200,2.217650689
61,ALP,3,CM,NC200,4.47150792
62,ALP,3,CM,NC200,4.804772681
63,ALP,3,CM,NC200,3.891380374
64,ALP,3,CM,NC200,4.572721662
65,ALP,3,CM,NC200,3.284097922
66,ALP,3,CM,NC200,3.042995268
67,ALP,3,CM,NC200,3.456901872
68,ALP,3,CM,NC200,2.066241514
69,ALP,3,CM,NC200,2.875128574
70,ALP,3,CM,NC200,3.715284921
71,ALP,3,CM,NC200,3.509565933
72,ALP,3,CM,NC200,4.618802715
73,ALP,3,CM,P30,0.352181268
74,ALP,3,CM,P30,0.596196237
75,ALP,3,CM,P30,0.700517763
76,ALP,3,CM,P30,1.223919619
77,ALP,3,CM,P30,0.38704055
78,ALP,3,CM,P30,1.763213206
79,ALP,3,CM,P30,0.868149895
80,ALP,3,CM,P30,1.190598247
81,ALP,3,CM,P30,1.156222726
82,ALP,3,CM,P30,1.209286088
83,ALP,3,CM,P30,1.176470588
84,ALP,3,CM,P30,1.340548089
85,ALP,3,CM,P30,1.123407226
86,ALP,3,CM,P30,1.224646535
87,ALP,3,CM,P30,1.177866992
88,ALP,3,CM,P30,1.366381567
89,ALP,3,CM,P30,1.124871426
90,ALP,3,CM,P30,1.238428307
91,ALP,3,CM,P30,0.998971405
92,ALP,3,CM,P30,1.080436124
93,ALP,3,CM,P30,1.126517178
94,ALP,3,CM,P30,1.240074059
95,ALP,3,CM,P30,0.963587739
96,ALP,3,CM,P30,1.017074676
97,ALP,3,CM,P100,0.46726816
98,ALP,3,CM,P100,0.643102476
99,ALP,3,CM,P100,0.60311683
100,ALP,3,CM,P100,0.545188907
101,ALP,3,CM,P100,1.019890296
102,ALP,3,CM,P100,0.748192956
103,ALP,3,CM,P100,0.926077818
104,ALP,3,CM,P100,0.747424002
105,ALP,3,CM,P100,1.139683193
106,ALP,3,CM,P100,0.976753754
107,ALP,3,CM,P100,1.022834808
108,ALP,3,CM,P100,1.099362271
109,ALP,3,CM,P100,1.062332853
110,ALP,3,CM,P100,1.074675993
111,ALP,3,CM,P100,1.130631557
112,ALP,3,CM,P100,1.310841391
113,ALP,3,CM,P100,1.144620448
114,ALP,3,CM,P100,1.01213742
115,ALP,3,CM,P100,1.045052458
116,ALP,3,CM,P100,1.170129603
117,ALP,3,CM,P100,1.082081876
118,ALP,3,CM,P100,1.072207365
119,ALP,3,CM,P100,1.147089076
120,ALP,3,CM,P100,1.297675375
121,ALP,3,CM,NC10P30,0.472650843
122,ALP,3,CM,NC10P30,0.482903573
123,ALP,3,CM,NC10P30,0.44830061
124,ALP,3,CM,NC10P30,0.790229149
125,ALP,3,CM,NC10P30,0.472907162
126,ALP,3,CM,NC10P30,0.4818783
127,ALP,3,CM,NC10P30,0.454964884
128,ALP,3,CM,NC10P30,0.731019634
129,ALP,3,CM,NC10P30,0.937255709
130,ALP,3,CM,NC10P30,1.248302818
131,ALP,3,CM,NC10P30,1.348693684
132,ALP,3,CM,NC10P30,0.994857025
133,ALP,3,CM,NC10P30,0.943838716
134,ALP,3,CM,NC10P30,0.8862374
135,ALP,3,CM,NC10P30,0.968524995
136,ALP,3,CM,NC10P30,1.164369471
137,ALP,3,CM,NC10P30,0.875540012
138,ALP,3,CM,NC10P30,1.114174038
139,ALP,3,CM,NC10P30,1.194815882
140,ALP,3,CM,NC10P30,0.936432833
